size,source,target
1,2689,1923
1,1437,1789
1,2521,1252
1,1883,3925
1,3915,3925
1,2913,1252
1,3579,1252
1,1902,416
1,290,4111
1,1864,441
1,1610,1157
1,2196,2596
1,3978,1252
1,3990,1252
1,390,2287
1,195,375
1,2581,1252
1,3568,4096
1,2779,1252
1,1791,1923
1,3908,4096
1,1207,1252
1,1813,3183
1,4145,2433
1,3539,2074
1,3866,2019
1,3380,2615
1,2552,1252
1,2745,154
1,1569,1157
1,1524,39
1,3653,3925
1,3712,1252
1,1931,434
1,1142,3552
1,3815,3183
1,1669,1252
1,1051,1051
1,3984,1252
1,1114,3798
1,2776,1252
1,2591,1252
1,1924,831
1,1716,1252
1,351,4096
1,838,870
1,1963,1252
1,158,3744
1,148,1923
1,1819,911
1,2439,1901
1,1616,1789
1,3824,3925
1,2733,2640
1,2488,1252
1,1256,1257
1,3579,2760
1,1937,1923
1,1403,1157
1,36,2974
1,4032,1252
1,1226,1157
1,2048,3744
1,3894,3925
1,3608,2640
2,564,2241
1,833,2074
1,2271,1901
1,2456,1901
1,3290,1252
1,281,3668
1,3838,3838
1,4015,1252
1,4226,2019
1,1908,1252
1,540,3059
1,2828,2760
1,2242,2640
1,2542,1252
1,2613,2615
1,691,1252
1,3681,3183
1,886,1252
1,3875,3784
1,4212,1241
1,3024,339
1,1670,2842
1,3011,1252
1,585,280
1,4020,1252
1,2440,1901
1,986,321
1,3373,911
1,1893,3826
1,2392,1252
1,3722,3183
1,1668,2842
1,24,1923
1,779,2881
1,972,529
1,2057,1252
1,3259,4096
1,1135,1303
1,3198,3925
1,3612,2640
1,3890,1252
1,2840,4
1,3957,1252
1,3762,3858
1,387,304
1,3243,1252
1,3397,911
1,234,322
1,3799,1252
1,290,1271
1,2507,2596
1,3876,1252
1,1783,2760
1,943,2433
1,1316,1901
1,2878,2019
1,4216,2019
1,3595,3668
1,2634,2019
1,4177,1252
1,3699,2569
1,4196,339
1,2297,3762
1,1639,2206
1,3643,2433
1,356,441
1,3466,1157
1,412,416
1,1774,1923
1,3150,3668
1,3045,3644
1,290,3438
1,1702,911
1,3336,1252
1,1333,3918
1,3826,4096
1,1017,1252
1,2676,1923
1,714,714
1,2079,1252
1,1711,1923
1,3034,1923
1,3069,3925
1,3526,3925
1,2175,2221
1,1947,1252
1,2920,1252
1,1972,1252
1,3816,1252
1,2484,1901
1,2743,1252
1,2450,2019
1,2559,1252
1,1279,1157
1,2966,2640
1,3980,1157
1,3893,1252
1,1612,1252
2,1561,2433
1,3276,3644
1,2051,1252
1,1516,1923
1,2629,1252
1,1022,3183
1,3994,3784
1,3967,4096
1,2469,3692
1,4004,1252
1,2841,441
1,1809,831
1,1626,1157
1,837,2287
1,675,668
1,3546,1252
1,3467,2990
1,3557,1923
1,3639,1252
1,1845,3798
1,4031,2640
1,1709,1252
1,2180,1252
1,3911,1252
1,2198,2615
1,1346,1157
1,1887,3925
1,2443,339
1,3511,1459
1,3508,3668
1,1907,3782
1,2386,1252
1,2080,2640
1,3613,2640
1,1391,1252
1,1886,441
1,1588,1252
1,3019,1459
1,36,76
1,2408,1252
